#Chr 	 Coordinate 	 Replication Timing
1	52300000	1
1	52500000	1
1	52700000	1
1	52900000	1
1	53100000	0.945454545
1	53300000	0.915909091
1	53500000	0.915909091
1	53700000	0.915909091
1	53900000	0.979545455
1	54100000	0.923989899
1	54300000	0.896717172
1	54500000	0.896717172
1	54700000	0.896717172
1	54900000	0.905808081
1	55100000	0.951262626
1	55300000	0.960353535
1	55500000	0.917063492
1	55700000	0.706854257
1	55900000	0.60952381
1	56100000	0.537950938
1	56300000	0.527849928
1	56500000	0.547041847
1	56700000	0.500577201
1	56900000	0.351370851
1	57100000	0.157828283
1	57300000	0.170815296
1	57500000	0.180916306
1	57700000	0.157828283
1	57900000	0.147727273
1	58100000	0.198484848
1	58300000	0.476587302
1	58500000	0.806709957
1	58700000	0.990909091
1	58900000	1
1	59100000	0.954545455
1	59300000	0.762518038
1	59500000	0.703823954
1	59700000	0.635894661
1	59900000	0.469408369
1	60100000	0.426479076
1	60300000	0.389141414
1	60500000	0.369949495
1	60700000	0.310209235
1	60900000	0.310209235
1	61100000	0.345923521
1	61300000	0.31475469
1	61500000	0.418650794
1	61700000	0.440007215
1	61900000	0.315656566
1	62100000	0.315656566
1	62300000	0.379004329
1	62500000	0.540728716
1	62700000	0.707900433
1	62900000	0.597294372
1	63100000	0.546536797
1	63300000	0.6004329
1	63500000	0.78538961
1	63700000	0.890800866
1	63900000	0.979545455
1	64100000	0.917316017
1	64300000	0.917316017
1	64500000	0.809487734
1	64700000	0.693470418
1	64900000	0.730699856
1	65100000	0.817821068
1	65300000	0.792568543
1	65500000	0.792568543
1	65700000	0.779689755
1	65900000	0.745238095
1	66100000	0.732864358
1	66300000	0.768470418
1	66500000	0.82958153
1	66700000	0.83968254
1	66900000	0.788924964
1	67100000	0.773773449
1	67300000	0.836255411
1	67500000	0.908225108
1	67700000	0.990909091
1	67900000	0.990909091
1	68100000	0.850649351
1	68300000	0.673773449
1	68500000	0.37027417
1	68700000	0.063997114
1	68900000	0.019191919
1	69100000	0.019191919
1	69300000	0.019191919
1	69500000	0.019191919
1	69700000	0.065007215
1	69900000	0.157142857
1	70100000	0.168506494
1	70300000	0.259415584
1	70500000	0.21991342
1	70700000	0.066630592
1	70900000	0.056529582
1	71100000	0.034451659
1	71300000	0.034451659
1	71500000	0.034451659
1	71700000	0.034451659
1	71900000	0.034451659
1	72100000	0.034451659
1	72300000	0.052633478
1	72500000	0.061724387
1	72700000	0.041269841
1	72900000	0.01010101
1	73100000	0
1	73300000	0
1	73500000	0
1	73700000	0
1	73900000	0
1	74100000	0
1	74300000	0
1	74500000	0
1	74700000	0.045454545
1	74900000	0.045454545
1	75100000	0
1	75300000	0.009090909
1	75500000	0.064646465
1	75700000	0.226731602
1	75900000	0.235569986
1	76100000	0.159307359
1	76300000	0.135064935
1	76500000	0.08961039
1	76700000	0.131277056
1	76900000	0.305627706
1	77100000	0.768073593
1	77300000	0.848484848
1	77500000	0.909090909
1	77700000	1
1	77900000	1
1	78100000	1
1	78300000	0.886760462
1	78500000	0.732972583
1	78700000	0.722871573
1	78900000	0.609379509
1	79100000	0.32012987
1	79300000	0.073737374
1	79500000	0.018181818
1	79700000	0
1	79900000	0
1	80100000	0
1	80300000	0
1	80500000	0.018181818
1	80700000	0.018181818
1	80900000	0
1	81100000	0
1	81300000	0
1	81500000	0.03030303
1	81700000	0.03030303
1	81900000	0.03030303
1	82100000	0.03030303
1	82300000	0.03030303
1	82500000	0.03030303
1	82700000	0.03030303
1	82900000	0
1	83100000	0
1	83300000	0
1	83500000	0
1	83700000	0.01010101
1	83900000	0.256385281
1	84100000	0.679437229
1	84300000	0.981818182
1	84500000	1
1	84700000	0.928030303
1	84900000	0.943181818
1	85100000	0.958333333
1	85300000	0.943181818
1	85500000	0.925
1	85700000	0.853571429
1	85900000	0.771645022
1	86100000	0.498701299
1	86300000	0.297077922
1	86500000	0.323051948
1	86700000	0.390836941
1	86900000	0.235281385
1	87100000	0.235281385
1	87300000	0.153751804
1	87500000	0.079906205
1	87700000	0.038636364
1	87900000	0.018181818
1	88100000	0.018181818
1	88300000	0.038383838
1	88500000	0.289862915
1	88700000	0.556457431
1	88900000	0.60494228
1	89100000	0.595093795
1	89300000	0.631457431
1	89500000	0.702164502
1	89700000	0.837878788
1	89900000	0.933838384
1	90100000	0.80959596
1	90300000	0.4247114
1	90500000	0.358802309
1	90700000	0.295310245
1	90900000	0.286219336
1	91100000	0.452994228
1	91300000	0.579220779
1	91500000	0.680952381
1	91700000	0.69004329
1	91900000	0.65974026
1	92100000	0.680952381
1	92300000	0.794083694
1	92500000	0.959090909
1	92700000	1
1	92900000	1
1	93100000	0.990909091
1	93300000	1
1	93500000	1
1	93700000	1
1	93900000	1
1	94100000	1
1	94300000	1
1	94500000	1
1	94700000	1
1	94900000	1
1	95100000	0.98989899
1	95300000	0.956457431
1	95500000	0.62012987
1	95700000	0.200865801
1	95900000	0.219047619
1	96100000	0.342388167
1	96300000	0.40537518
1	96500000	0.529617605
1	96700000	0.563708514
1	96900000	0.741450216
1	97100000	0.667316017
1	97300000	0.693831169
1	97500000	0.736760462
1	97700000	0.842316017
1	97900000	0.953679654
1	98100000	0.953679654
1	98300000	0.875757576
1	98500000	0.815151515
1	98700000	0.651515152
1	98900000	0.335209235
1	99100000	0.234199134
1	99300000	0.32041847
1	99500000	0.464718615
1	99700000	0.73488456
1	99900000	0.631709957
1	100100000	0.631709957
1	100300000	0.631709957
1	100500000	0.607359307
1	100700000	0.517712843
1	100900000	0.39527417
1	101100000	0.364718615
1	101300000	0.299098124
1	101500000	0.148737374
1	101700000	0.148737374
1	101900000	0.138636364
1	102100000	0.138636364
1	102300000	0.15
1	102500000	0.184090909
1	102700000	0.184090909
1	102900000	0.138636364
1	103100000	0.078787879
1	103300000	0.078787879
1	103500000	0.078787879
1	103700000	0.078787879
1	103900000	0.063636364
1	104100000	0.063636364
1	104300000	0.063636364
1	104500000	0.063636364
1	104700000	0.063636364
1	104900000	0.063636364
1	105100000	0.063636364
1	105300000	0.045454545
1	105500000	0.045454545
1	105700000	0.045454545
1	105900000	0.045454545
1	106100000	0.055555556
1	106300000	0.055555556
1	106500000	0.056818182
1	106700000	0.056818182
1	106900000	0.068181818
1	107100000	0.056818182
1	107300000	0.056818182
1	107500000	0.056818182
1	107700000	0.056818182
1	107900000	0.056818182
1	108100000	0.075
1	108300000	0.631096681
1	108500000	0.807828283
1	108700000	0.980808081
1	108900000	0.98989899
1	109100000	0.98989899
1	109300000	0.98989899
1	109500000	0.851154401
1	109700000	0.717821068
1	109900000	0.717821068
1	110100000	0.717821068
1	110300000	0.6502886
1	110500000	0.6502886
1	110700000	0.6501443
1	110900000	0.741053391
1	111100000	0.7501443
1	111300000	0.918939394
1	111500000	0.939393939
1	111700000	0.863636364
1	111900000	0.848484848
1	112100000	0.833333333
1	112300000	1
1	112500000	1
1	112700000	1
1	112900000	1
1	113100000	1
1	113300000	1
1	113500000	1
1	113700000	1
1	113900000	1
1	114100000	0.96969697
1	114300000	0.746969697
1	114500000	0.737878788
1	114700000	0.722727273
1	114900000	0.949242424
1	115100000	0.984848485
1	115300000	0.984848485
1	115500000	0.928030303
1	115700000	0.553535354
1	115900000	0.489177489
1	116100000	0.447510823
1	116300000	0.447510823
1	116500000	0.447510823
1	116700000	0.477813853
1	116900000	0.484018759
1	117100000	0.499170274
1	117300000	0.499170274
1	117500000	0.49527417
1	117700000	0.518362193
1	117900000	0.546753247
1	118100000	0.432647908
1	118300000	0.393001443
1	118500000	0.29011544
1	118700000	0.29011544
1	118900000	0.28001443
1	119100000	0.29011544
1	119300000	0.430519481
1	119500000	0.808982684
1	119700000	0.990909091
1	119900000	0.990909091
1	120100000	0.990909091
1	120300000	0.990909091
